kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Zeměpis;Která přehrada zásobuje Prahu vodou?;Švihov;Lipno;Orlík;Slapy;A;3;Vodní nádrž Švihov (Želivka) je největším zdrojem pitné vody pro Prahu.
Zeměpis;Kde se nachází Holašovice?;jižní Čechy;jižní Morava;západní Čechy;východní Čechy;A;2;Holašovice jsou zapsány na seznamu UNESCO jako příklad selského baroka.
Zeměpis;Kolik obyvatel má přibližně Praha?;1,3 milionu;1,5 milionu;1 milion;2 miliony;A;2;
Zeměpis;Kde pramení řeka Berounka?;Šumava;Krkonoše;Beskydy;Jeseníky;A;1;Berounka vzniká soutokem čtyř řek u Plzně.
Zeměpis;Které město je centrem Pardubického kraje?;Pardubice;Chrudim;Svitavy;Ústí nad Orlicí;A;1;Pardubice jsou známé výrobou perníku a koňskými dostihy.
Zeměpis;Kde leží zámek Hluboká?;jižní Čechy;jižní Morava;střední Čechy;západní Čechy;A;1;Hluboká byla přestavěna v anglickém novogotickém stylu podle Windsoru.
Zeměpis;Kolik procent hranice ČR tvoří hranice s Německem?;přibližně 36%;přibližně 25%;přibližně 45%;přibližně 50%;A;3;
Zeměpis;Kde se nachází Bouzov?;Olomoucký kraj;Jihomoravský kraj;Pardubický kraj;Moravskoslezský kraj;A;2;Hrad Bouzov vlastnil Řád německých rytířů.
Zeměpis;Která hora je dominantou Beskyd viditelnou z dálky?;Lysá hora;Radhošť;Smrk;Travný;A;1;
Zeměpis;Kde leží město Znojmo?;jižní Morava;jižní Čechy;Vysočina;střední Morava;A;1;Znojmo je centrem vinařské oblasti a má rozsáhlé podzemní chodby.
Zeměpis;Kolik procent plochy ČR zabírají chráněná území?;přibližně 17%;přibližně 10%;přibližně 25%;přibližně 5%;A;2;
Zeměpis;Kde se nachází Žďárské vrchy?;Vysočina;jižní Morava;severní Čechy;východní Čechy;A;1;Žďárské vrchy jsou chráněnou krajinnou oblastí známou rašeliništi.
Zeměpis;Které město je hlavním městem Libereckého kraje?;Liberec;Jablonec nad Nisou;Česká Lípa;Turnov;A;1;Liberec má největší ZOO v Česku.
Osobnosti;Kdo napsal Labyrint světa a ráj srdce?;Jan Ámos Komenský;Karel Čapek;Božena Němcová;Jan Neruda;A;1;Komenský napsal toto dílo v Brandýse nad Orlicí během třicetileté války.
Osobnosti;Kdo byl Jiří Trnka?;animátor a loutkář;malíř;hudebník;architekt;A;1;Trnka je považován za zakladatele české animované tvorby.
Osobnosti;Kdo napsal Zbabělci?;Josef Škvorecký;Milan Kundera;Bohumil Hrabal;Ladislav Fuks;A;2;Zbabělci vyvolali po vydání skandál kvůli zobrazení konce války.
Osobnosti;Kdo byl Oldřich Nový?;herec;politik;sportovec;vědec;A;1;Oldřich Nový byl hvězdou prvorepublikových filmů a kabaretů.
Osobnosti;Kdo napsal Osudy dobrého vojáka Švejka?;Jaroslav Hašek;Karel Čapek;Bohumil Hrabal;Jan Neruda;A;1;Hašek knihu nedokončil a zemřel ve 39 letech.
Osobnosti;Kdo byl Jiří Voskovec?;herec a dramatik;malíř;hudebník;sportovec;A;1;Voskovec po emigraci hrál v Hollywoodu a na Broadwayi.
Osobnosti;Kdo je autorem Limonádového Joea?;Jiří Brdečka;Karel Čapek;Oldřich Lipský;Zdeněk Svěrák;A;3;
Osobnosti;Kdo byl Bohuslav Martinů?;hudební skladatel;malíř;básník;architekt;A;1;Martinů strávil většinu života v emigraci a nikdy se nevrátil do Čech.
Osobnosti;Kdo napsal Bylo nás pět?;Karel Poláček;Jaroslav Hašek;Karel Čapek;Bohumil Hrabal;A;2;Poláček zahynul během holocaustu v koncentračním táboře.
Osobnosti;Kdo byl Ema Destinnová?;operní pěvkyně;herečka;tanečnice;spisovatelka;A;2;Destinnová zpívala na předních světových scénách včetně Metropolitní opery.
Osobnosti;Kdo napsal Markétu Lazarovou?;Vladislav Vančura;Karel Čapek;Jaroslav Hašek;Bohumil Hrabal;A;2;Vančura byl popraven nacisty za účast v odboji.
Osobnosti;Kdo byl František Křižík?;vynálezce a podnikatel;politik;hudebník;malíř;A;1;Křižík vynalezl obloukovou lampu a vybudoval první elektrickou dráhu v Praze.
Osobnosti;Kdo napsal Saturnin?;Zdeněk Jirotka;Karel Čapek;Jaroslav Hašek;Bohumil Hrabal;A;2;Saturnin je jednou z nejoblíbenějších českých humoristických knih.
Osobnosti;Kdo byl Jiří Hanzelka?;cestovatel;politik;sportovec;hudebník;A;1;Hanzelka s Zikmundem procestovali svět v autě Tatra.
Osobnosti;Kdo napsal Válku s mloky?;Karel Čapek;Jaroslav Hašek;Bohumil Hrabal;Milan Kundera;A;1;Válka s mloky je satirická alegorie na vzestup fašismu.
Osobnosti;Kdo byl Ferdinand Peroutka?;novinář a spisovatel;politik;hudebník;malíř;A;2;Peroutka vedl prestižní časopis Přítomnost.
Osobnosti;Kdo napsal Ostře sledované vlaky?;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;Karel Čapek;A;1;Film podle knihy získal Oscara za nejlepší cizojazyčný film.
Osobnosti;Kdo byl Jindřich Šimon Baar?;spisovatel a kněz;malíř;hudebník;politik;A;3;
Osobnosti;Kdo napsal Příliš hlučnou samotu?;Bohumil Hrabal;Milan Kundera;Josef Škvorecký;Karel Čapek;A;2;Hrabal sám pracoval jako lisovač starého papíru.
Osobnosti;Kdo byl Sigmund Freud?;zakladatel psychoanalýzy;fyzik;chemik;biolog;A;1;Freud se narodil v Příboře na Moravě a je jedním z nejvlivnějších myslitelů 20. století.
Kultura;Co je to frgál?;valašský koláč;druh polévky;typ uzeniny;název sýra;A;1;Frgály se plní tvarohem, mákem, povidly nebo hruškami.
Kultura;Kdy se koná Mezinárodní filmový festival v Karlových Varech?;červenec;srpen;červen;září;A;1;Festival v Karlových Varech je jedním z nejstarších filmových festivalů na světě.
Kultura;Co je to Becherovka?;bylinný likér;druh piva;typ vína;název minerálky;A;1;Becherovka se vyrábí v Karlových Varech podle tajné receptury od roku 1807.
Kultura;Jaký je tradiční moravský tanec?;verbuňk;polka;valčík;mazurka;A;2;Verbuňk je zapsán na seznamu nehmotného kulturního dědictví UNESCO.
Kultura;Co je to klobása?;druh uzeniny;typ pečiva;název polévky;druh sýra;A;1;
Kultura;Kdy se slaví Dušičky?;2. listopadu;1. listopadu;31. října;3. listopadu;A;2;Na Dušičky se tradičně navštěvují hřbitovy a zapalují svíčky.
Kultura;Co je to koleda?;vánoční píseň;druh pečiva;typ tance;název svátku;A;1;Koledování je tradice, kdy děti chodí dům od domu a zpívají.
Kultura;Jaký je tradiční český sváteční dort?;dort Sacher nebo Pražský dort;tiramisu;cheesecake;brownie;A;2;
Kultura;Co je to hanácký dialekt?;moravské nářečí;české nářečí;slezské nářečí;slovenský jazyk;A;2;Hanáčtina je známá specifickou výslovností samohlásek.
Kultura;Kdy se koná Masopust?;před Velikonocemi;po Vánocích;v létě;na podzim;A;1;Masopust končí Popeleční středou a začíná postní období.
Kultura;Co je to utopence?;nakládané párky;druh polévky;typ sýra;název pečiva;A;1;Utopenci se nakládají s cibulí, paprikou a feferonkami.
Kultura;Jaký je tradiční vánoční zvyk s Ježíškem?;nadělování dárků;zdobení stromku;pečení cukroví;koledování;A;1;V Česku nosí dárky Ježíšek, na rozdíl od Santa Clause v anglosaských zemích.
Kultura;Co je to chodské koláče?;sladké pečivo;druh polévky;typ masa;název sýra;A;2;Chodské koláče jsou typické pro oblast Domažlicka.
Kultura;Kdy se slaví Štěpán?;26. prosince;25. prosince;27. prosince;24. prosince;A;2;Na Štěpána se tradičně konají návštěvy u příbuzných.
Kultura;Co je to pivní lázeň?;wellness procedura;druh piva;typ baru;název festivalu;A;2;Pivní lázně využívají léčivé účinky piva a chmele.
Kultura;Jaký je tradiční moravský kroj?;hanácký;pražský;slezský;chodský;A;1;Hanácký kroj patří k nejzdobnějším v Česku.
Kultura;Co je to mazanec?;velikonoční pečivo;vánoční cukroví;druh koláče;typ dortu;A;1;Mazanec se peče z kynutého těsta a má tvar bochníku.
Kultura;Kdy se koná Velikonoční pondělí pomlázka?;den po Velikonoční neděli;Velký pátek;Bílá sobota;Květná neděle;A;1;
Kultura;Co je to Plzeňský prazdroj?;značka piva;druh jídla;název města;typ festivalu;A;1;Pilsner Urquell je vzorem pro světlé ležáky po celém světě.
Sport;Kdo je nejúspěšnější český motocyklista?;Karel Abraham;Jakub Kornfeil;Filip Salač;Ondřej Ježek;A;3;
Sport;Ve kterém sportu vynikl Štěpán Horák?;veslování;plavání;kanoistika;jachting;A;4;
Sport;Kdo je Tomáš Souček?;fotbalista;hokejista;tenista;atlet;A;1;Souček hraje za West Ham v anglické Premier League.
Sport;Ve kterém roce se konalo MS v ledním hokeji v Praze poprvé?;1947;1950;1959;1938;A;3;
Sport;Kdo je nejúspěšnější český šachista?;David Navara;Vlastimil Hort;Jan Smejkal;Zdeněk Hráček;A;2;Navara je mnohonásobným mistrem ČR a velmistr od 15 let.
Sport;Ve kterém sportu vynikl Vojtěch Štěpán?;tenis;hokej;fotbal;atletika;A;4;
Sport;Kdo je Vladimír Šmicer?;fotbalista;hokejista;tenista;atlet;A;1;Šmicer vstřelil rozhodující gól ve finále Ligy mistrů 2005 za Liverpool.
Sport;Ve kterém sportu vynikl Josef Masopust?;fotbal;hokej;atletika;tenis;A;1;Masopust získal Zlatý míč v roce 1962 jako jediný Čech před Nedvědem.
Sport;Kdo je Milan Baroš?;fotbalista;hokejista;tenista;atlet;A;1;Baroš byl nejlepším střelcem na Euru 2004.
Sport;Ve kterém městě sídlí hokejový klub Oceláři?;Třinec;Ostrava;Vítkovice;Zlín;A;1;Třinec je jedním z nejúspěšnějších klubů české extraligy.
Sport;Kdo je Karolína Erbanová?;rychlobruslařka;krasobruslařka;hokejistka;lyžařka;A;2;
Sport;Ve kterém sportu vynikl Jiří Ježek?;paracyklistika;cyklistika;plavání;atletika;A;2;Ježek je vícenásobný paralympijský vítěz.
Sport;Kdo je Tomáš Vaclík?;fotbalový brankář;hokejista;tenista;atlet;A;1;
Sport;Ve kterém městě sídlí fotbalový klub Baník?;Ostrava;Karviná;Opava;Havířov;A;1;Baník Ostrava je nejúspěšnějším moravským fotbalovým klubem.
Sport;Kdo je Kateřina Siniaková?;tenistka;běžkyně;plavkyně;gymnastka;A;1;Siniaková je špičkovou deblistkou a vyhrála Wimbledon ve čtyřhře.
Sport;Ve kterém sportu vynikl Martin Procházka?;hokej;fotbal;tenis;atletika;A;1;
Sport;Kdo je Ondřej Palát?;hokejista;fotbalista;tenista;basketbalista;A;1;Palát vyhrál Stanley Cup s Tampa Bay Lightning.
Sport;Ve kterém městě se jezdí Zlatá přilba?;Pardubice;Praha;Brno;Ostrava;A;1;Zlatá přilba je nejprestižnější plochodrážní závod v Česku.
Sport;Kdo je Jiří Procházka?;MMA bojovník;hokejista;fotbalista;tenista;A;1;Procházka se stal šampionem UFC v polotěžké váze v roce 2022.
Sport;Ve kterém sportu vynikla Eva Samková?;snowboardcross;sjezdové lyžování;krasobruslení;biatlon;A;1;Samková vyhrála olympijské zlato v Soči 2014.
Sport;Kdo je Jiří Veselý?;tenista;hokejista;fotbalista;atlet;A;1;Veselý porazil na turnaji hvězdy jako Djokovič nebo Thiem.
