kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Zeměpis;Kolik procent ČR leží nad 500 m n.m.?;přibližně 52%;přibližně 40%;přibližně 60%;přibližně 70%;A;3;
Zeměpis;Kde se nachází Soos?;Karlovarský kraj;Plzeňský kraj;Ústecký kraj;Liberecký kraj;A;1;Soos je přírodní rezervace s mofetami a bahennými sopkami.
Zeměpis;Které město je hlavním městem Jihomoravského kraje?;Brno;Znojmo;Hodonín;Břeclav;A;1;
Osobnosti;Kdo napsal Dášeňku?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;Dášeňka je příběh o štěněti foxterriéra.
Osobnosti;Kdo byl Quido Maria Vyskočil?;spisovatel;malíř;hudebník;architekt;A;4;
Osobnosti;Kdo napsal Čintamani a podvodník?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;2;
Osobnosti;Kdo byl Josef Hora?;básník;malíř;hudebník;architekt;A;2;Hora byl představitelem proletářské poezie.
Osobnosti;Kdo napsal Italské listy?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;Čapek psal cestopisné fejetony z cest po Evropě.
Osobnosti;Kdo byl S.K. Neumann?;básník;malíř;hudebník;architekt;A;2;Neumann byl anarchistou a později komunistou.
Osobnosti;Kdo napsal Anglické listy?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;
Osobnosti;Kdo byl Fráňa Šrámek?;básník a prozaik;malíř;hudebník;architekt;A;2;Šrámek napsal román Stříbrný vítr.
Osobnosti;Kdo napsal Cesta na sever?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;
Osobnosti;Kdo byl Viktor Oliva?;malíř;sochař;architekt;hudebník;A;2;Oliva namaloval slavný obraz Piják absintu.
Osobnosti;Kdo napsal Hovory s T.G.M.?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Ferdinand Peroutka;A;1;Čapek vedl rozhovory s prezidentem Masarykem.
Osobnosti;Kdo byl Václav Radimský?;impresionistický malíř;sochař;architekt;hudebník;A;3;Radimský studoval ve Francii a přinesl impresionismus do Čech.
Osobnosti;Kdo napsal Knihu apokryfů?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;
Osobnosti;Kdo byl Ludvík Kuba?;malíř a etnograf;sochař;architekt;hudebník;A;3;Kuba maloval slovácké motivy a sbíral lidové písně.
Osobnosti;Kdo napsal Válku s mloky?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;Válka s mloky je satirická alegorie na totalitní režimy.
Osobnosti;Kdo byl Tavík František Šimon?;grafik a malíř;sochař;architekt;hudebník;A;3;Šimon proslul leptanými vedutami evropských měst.
Osobnosti;Kdo napsal První partu?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;
Osobnosti;Kdo byl Otakar Kubín?;malíř;sochař;architekt;hudebník;A;3;Kubín působil ve Francii pod jménem Othon Coubine.
Osobnosti;Kdo napsal Apollónovu kytaru?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;4;
Osobnosti;Kdo byl Jan Štursa?;sochař;malíř;architekt;hudebník;A;2;Štursa vytvořil sochy na Hlávkově mostě v Praze.
Kultura;Co je to guláš?;dušené maso;druh polévky;typ uzeniny;název sýra;A;1;Guláš pochází z Maďarska, ale je oblíbený i v Česku.
Kultura;Kdy se koná Festival svobody?;listopad;říjen;září;prosinec;A;1;Festival svobody připomíná události roku 1989.
Kultura;Co je to přírodní řízek?;smažené maso;druh polévky;typ uzeniny;název sýra;A;1;Přírodní řízek se nepaníruje na rozdíl od vídeňského.
Kultura;Jaký je tradiční český nápoj na zahřátí?;grog;pivo;víno;limonáda;A;1;Grog se připravuje z rumu, horké vody a cukru.
Kultura;Co je to hovězí na smetaně?;dušené maso;druh polévky;typ uzeniny;název sýra;A;1;
Kultura;Kdy se koná Signal Festival?;říjen;září;listopad;srpen;A;1;Signal Festival je festival světelného umění v Praze.
Kultura;Co je to segedínský guláš?;dušené maso se zelím;druh polévky;typ uzeniny;název sýra;A;1;Segedínský guláš se připravuje s kysaným zelím.
Kultura;Jaký je tradiční moravský alkoholický nápoj?;slivovice;pivo;víno;rum;A;1;Slivovice se pálí zejména na Valašsku a Slovácku.
Kultura;Co je to vepřový guláš?;dušené maso;druh polévky;typ uzeniny;název sýra;A;1;
Kultura;Kdy se koná Designblok?;říjen;září;listopad;srpen;A;1;Designblok je největší festival designu ve střední Evropě.
Kultura;Co je to kuřecí řízek?;smažené maso;druh polévky;typ uzeniny;název sýra;A;1;
Kultura;Jaký je tradiční vánoční pokrm na Moravě?;kapr;klobásy;uzené;řízky;A;1;
Kultura;Co je to telecí řízek?;smažené maso;druh polévky;typ uzeniny;název sýra;A;1;
Kultura;Kdy se koná Pražský podzim?;září-říjen;říjen-listopad;srpen-září;listopad-prosinec;A;1;Pražský podzim je mezinárodní hudební festival.
Kultura;Co je to moravský koláč?;sladké pečivo;druh polévky;typ uzeniny;název sýra;A;1;Moravské koláče mají čtyři druhy náplně.
Kultura;Jaký je tradiční slezský nápoj?;kofola;pivo;víno;čaj;A;3;
Kultura;Co je to švestkový koláč?;sladké pečivo;druh polévky;typ uzeniny;název sýra;A;1;
Kultura;Kdy se koná Pražské quadriennale?;každé 4 roky;každý rok;každé 2 roky;každých 5 let;A;1;Pražské quadriennale je přehlídka scénografie a divadelní architektury.
Kultura;Co je to meruňkový koláč?;sladké pečivo;druh polévky;typ uzeniny;název sýra;A;1;
Sport;Kdo je nejúspěšnější český baseballista?;Martin Černý;Jakub Hajtmar;Petr Čech;Jan Novák;A;4;
Sport;Ve kterém sportu vynikl Michal Březina?;krasobruslení;hokej;atletika;plavání;A;1;Březina reprezentoval ČR na několika olympiádách.
Sport;Kdo je Pavel Zacha?;hokejista;fotbalista;tenista;atlet;A;1;Zacha hraje v NHL a byl draftován v prvním kole.
Sport;Ve kterém městě sídlí softbalový klub Eagles?;Praha;Brno;Ostrava;Plzeň;A;1;
Sport;Kdo je nejúspěšnější český windsurfař?;Karel Lavický;Jan Novák;Petr Černý;Martin Bílý;A;4;
Sport;Ve kterém sportu vynikl Jaroslav Hruška?;curling;hokej;atletika;plavání;A;4;
Sport;Kdo je Radko Gudas?;hokejista;fotbalista;tenista;atlet;A;1;Gudas je známý tvrdou hrou v NHL.
Sport;Ve kterém městě se koná Czech Cycling Tour?;různá města ČR;jen Praha;jen Brno;jen Ostrava;A;1;Czech Cycling Tour je etapový cyklistický závod.
Sport;Kdo je nejúspěšnější český veslař?;Ondřej Synek;Jan Novák;Petr Černý;Martin Bílý;A;1;Synek je trojnásobný mistr světa a olympijský medailista.
Sport;Ve kterém sportu vynikla Lenka Dürr?;volejbal;basketbal;házená;florbal;A;1;
Sport;Kdo je Jakub Lauko?;hokejista;fotbalista;tenista;atlet;A;1;Lauko byl draftován Bostonem Bruins.
Sport;Ve kterém městě sídlí volejbalový klub Karlovarsko?;Karlovy Vary;Plzeň;Cheb;Sokolov;A;1;
Sport;Kdo je nejúspěšnější český střelec?;Jiří Lipták;Jan Novák;Petr Černý;Martin Bílý;A;1;Lipták vyhrál olympijské zlato v trapu na OH 2020.
Sport;Ve kterém sportu vynikla Andrea Hlaváčková?;tenis;hokej;atletika;plavání;A;1;Hlaváčková je specialistka na čtyřhru.
Sport;Kdo je Filip Pyrochta?;hokejista;fotbalista;tenista;atlet;A;2;
Sport;Ve kterém městě se koná RunCzech maraton?;Praha;Brno;Ostrava;Olomouc;A;1;Prague Marathon je součástí série RunCzech.
Sport;Kdo je David Jiříček?;hokejista;fotbalista;tenista;atlet;A;1;Jiříček byl draftován jako 6. celkově v NHL draftu 2022.
Sport;Ve kterém sportu vynikl Petr Pála?;tenis;hokej;atletika;plavání;A;1;Pála je úspěšný tenisový trenér a bývalý hráč.
Sport;Kdo je Stanislav Svozil?;hokejista;fotbalista;tenista;atlet;A;1;
Sport;Ve kterém městě sídlí hokejový klub Škoda?;Plzeň;Mladá Boleslav;České Budějovice;Karlovy Vary;A;1;
Sport;Kdo je Jan Rutta?;hokejista;fotbalista;tenista;atlet;A;1;Rutta vyhrál Stanley Cup s Tampa Bay Lightning.
