kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Sport;Ve kterém sportu vynikl Jaroslav Soukup?;biatlon;běh na lyžích;skoky na lyžích;alpské lyžování;A;1;Soukup získal bronz na ZOH 2014 v Soči.
Sport;Kdo je Radek Faksa?;hokejista;fotbalista;tenista;atlet;A;1;Faksa hraje v NHL za Dallas Stars.
Sport;Ve kterém městě sídlí fotbalový klub Hradec Králové?;Hradec Králové;Pardubice;Liberec;Jablonec;A;1;
Sport;Kdo je nejúspěšnější česká sportovní lezkyně?;Aneta Loužecká;Michaela Smetanová;Petra Klementová;Jana Trávníčková;A;3;
Sport;Ve kterém sportu vynikl Filip Jícha?;házená;basketbal;volejbal;florbal;A;1;Jícha byl nejlepším házenkářem světa v roce 2010.
Sport;Kdo je Michael Špaček?;hokejista;fotbalista;tenista;atlet;A;1;
Sport;Ve kterém městě se koná Mattoni 1/2 maraton?;Olomouc, Karlovy Vary, České Budějovice;jen Praha;jen Brno;jen Ostrava;A;1;Mattoni 1/2 maraton se koná v několika českých městech.
Sport;Kdo je Jiří Lehečka?;tenista;hokejista;fotbalista;atlet;A;1;Lehečka patří k mladé generaci českého tenisu.
Sport;Ve kterém sportu vynikl Tomáš Macháč?;tenis;hokej;fotbal;atletika;A;1;
Sport;Kdo je Filip Zadina?;hokejista;fotbalista;tenista;atlet;A;1;Zadina byl draftován jako 6. v prvním kole NHL draftu 2018.
Sport;Ve kterém městě sídlí florbalový klub Chodov?;Praha;Brno;Ostrava;Plzeň;A;1;
