kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Osobnosti;Kdo napsal Podivuhodné cesty pana Broučka?;Svatopluk Čech;Karel Čapek;Bohumil Hrabal;Jaroslav Hašek;A;1;
Osobnosti;Kdo byl Vítězslav Novák?;hudební skladatel;malíř;básník;architekt;A;2;Novák patřil ke generaci po Dvořákovi.
Osobnosti;Kdo napsal Broučky?;Jan Karafiát;Karel Čapek;Bohumil Hrabal;Jaroslav Hašek;A;1;Broučci jsou pohádkou o světluškách s morálním poselstvím.
Osobnosti;Kdo byl Josef Bohuslav Foerster?;hudební skladatel;malíř;básník;architekt;A;2;Foerster žil dlouho v Hamburku a Vídni.
Osobnosti;Kdo napsal Povídky z jedné a druhé kapsy?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;
Osobnosti;Kdo byl Oskar Nedbal?;hudební skladatel;malíř;básník;architekt;A;2;Nedbal napsal operetu Polská krev.
Osobnosti;Kdo napsal Devatero pohádek?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;
Osobnosti;Kdo byl Rudolf Karel?;hudební skladatel;malíř;básník;architekt;A;3;Rudolf Karel zemřel v Terezíně za 2. světové války.
Osobnosti;Kdo napsal Továrnu na Absolutno?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;
Osobnosti;Kdo byl Pavel Haas?;hudební skladatel;malíř;básník;architekt;A;3;Haas byl žákem Janáčka a zahynul v Osvětimi.
Osobnosti;Kdo napsal Krakatit?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;Krakatit varuje před zneužitím vědeckých vynálezů.
Osobnosti;Kdo byl Gideon Klein?;hudební skladatel;malíř;básník;architekt;A;4;Klein byl hudebním géniem, který zahynul v koncentračním táboře.
Osobnosti;Kdo napsal První kapku?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;4;
Osobnosti;Kdo byl Hans Krása?;hudební skladatel;malíř;básník;architekt;A;3;Krása napsal dětskou operu Brundibár v Terezíně.
Osobnosti;Kdo napsal Měl jsem psa a kočku?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;1;
Osobnosti;Kdo byl Viktor Ullmann?;hudební skladatel;malíř;básník;architekt;A;3;Ullmann komponoval v Terezíně operu Císař z Atlantidy.
Osobnosti;Kdo napsal O věcech nadpřirozených?;Karel Čapek;Bohumil Hrabal;Milan Kundera;Jaroslav Hašek;A;2;
Osobnosti;Kdo byl Erwin Schulhoff?;hudební skladatel;malíř;básník;architekt;A;3;Schulhoff byl avantgardní skladatel ovlivněný jazzem.
Kultura;Co je to krupicová kaše?;mléčný pokrm;druh polévky;typ uzeniny;název sýra;A;1;Krupicová kaše se podává dětem jako snídaně.
Kultura;Kdy se koná Janáčkův máj?;květen-červen;září-říjen;leden-únor;červenec-srpen;A;1;Janáčkův máj je hudební festival v Ostravě.
Kultura;Co je to ovesná kaše?;snídaňový pokrm;druh polévky;typ uzeniny;název sýra;A;1;
Kultura;Jaký je tradiční plzeňský nápoj?;Pilsner Urquell;Budvar;Staropramen;Kozel;A;1;Pilsner Urquell je vzorem pro světlé ležáky po celém světě.
Kultura;Co je to rýžová kaše?;mléčný pokrm;druh polévky;typ uzeniny;název sýra;A;1;
Kultura;Kdy se koná Smetanova Litomyšl?;červen-červenec;září-říjen;leden-únor;srpen;A;1;Smetanova Litomyšl je operní festival v rodišti Bedřicha Smetany.
Kultura;Co je to puding?;sladký dezert;druh polévky;typ uzeniny;název sýra;A;1;
Kultura;Jaký je tradiční budějovický nápoj?;Budvar;Pilsner Urquell;Staropramen;Kozel;A;1;Budweiser Budvar se vaří v Českých Budějovicích od roku 1895.
Kultura;Co je to kompot?;zavařené ovoce;druh polévky;typ uzeniny;název sýra;A;1;
Kultura;Kdy se koná Dvořákova Praha?;září;říjen;listopad;srpen;A;1;Dvořákova Praha je mezinárodní hudební festival.
Kultura;Co je to povidla?;švestková marmeláda;druh polévky;typ uzeniny;název sýra;A;1;Povidla se vaří ze švestek bez přidání cukru.
Kultura;Jaký je tradiční staropramenský nápoj?;Staropramen;Budvar;Pilsner Urquell;Kozel;A;1;Staropramen se vaří v Praze-Smíchově.
Kultura;Co je to džem?;ovocná zavařenina;druh polévky;typ uzeniny;název sýra;A;1;
Kultura;Kdy se koná Concentus Moraviae?;červen;květen;červenec;srpen;A;1;Concentus Moraviae je festival komorní hudby na Moravě.
Kultura;Co je to marmeláda?;ovocná pomazánka;druh polévky;typ uzeniny;název sýra;A;1;
Kultura;Jaký je tradiční velkopopovický nápoj?;Kozel;Budvar;Pilsner Urquell;Staropramen;A;1;Kozel se vaří ve Velkých Popovicích.
Kultura;Co je to med?;včelí produkt;druh polévky;typ uzeniny;název sýra;A;1;
Kultura;Kdy se koná Moravský podzim?;září-říjen;říjen-listopad;srpen-září;listopad-prosinec;A;1;Moravský podzim je hudební festival v Brně.
Kultura;Co je to sirup?;sladký nápojový koncentrát;druh polévky;typ uzeniny;název sýra;A;1;
Sport;Kdo je nejúspěšnější český paraglidista?;Petr Recek;Jan Novák;Martin Bílý;David Černý;A;4;
Sport;Ve kterém sportu vynikl Šimon Nausch?;plavání;atletika;cyklistika;hokej;A;3;
Sport;Kdo je Adam Hložek?;fotbalista;hokejista;tenista;atlet;A;1;Hložek je jedním z největších talentů českého fotbalu.
Sport;Ve kterém městě sídlí hokejový klub Energie?;Karlovy Vary;Plzeň;Liberec;České Budějovice;A;1;
Sport;Kdo je nejúspěšnější český BMX jezdec?;Roman Čermák;Jan Novák;Martin Bílý;David Černý;A;4;
Sport;Ve kterém sportu vynikl Jan Sychra?;hokej;fotbal;tenis;atletika;A;3;
Sport;Kdo je Patrik Schick?;fotbalista;hokejista;tenista;atlet;A;1;Schick vstřelil krásný gól z poloviny hřiště na Euru 2020.
Sport;Ve kterém městě se koná Beach Open?;Ostrava;Praha;Brno;Plzeň;A;1;Beach Open je turnaj v plážovém volejbalu.
Sport;Kdo je nejúspěšnější český orientační běžec?;Tomáš Dlabaja;Jan Novák;Martin Bílý;David Černý;A;3;
Sport;Ve kterém sportu vynikla Ester Ledecká kromě snowboardu?;sjezdové lyžování;běh na lyžích;biatlon;krasobruslení;A;1;Ledecká vyhrála olympijské zlato v obou sportech.
Sport;Kdo je Antonín Barák?;fotbalista;hokejista;tenista;atlet;A;1;Barák hraje v italské Serie A.
Sport;Ve kterém městě sídlí hokejový klub Olomouc?;Olomouc;Brno;Zlín;Vsetín;A;1;
Sport;Kdo je nejúspěšnější český wakeboarďista?;Dominik Hernler;Jan Novák;Martin Bílý;David Černý;A;4;
Sport;Ve kterém sportu vynikl Tomáš Möller?;fotbal;hokej;tenis;atletika;A;4;
Sport;Kdo je Václav Černý?;fotbalista;hokejista;tenista;atlet;A;1;Černý hrál ve slavném Ajax Amsterdam.
Sport;Ve kterém městě se koná Czech Ladies Challenge?;různá města;jen Praha;jen Brno;jen Ostrava;A;1;
Sport;Kdo je nejúspěšnější český kiteboardista?;Jan Paďour;Martin Novák;David Bílý;Petr Černý;A;4;
Sport;Ve kterém sportu vynikl Tomáš Nosek?;hokej;fotbal;tenis;atletika;A;1;Nosek vyhrál Stanley Cup s Vegas Golden Knights.
Sport;Kdo je Alex Král?;fotbalista;hokejista;tenista;atlet;A;1;Král hrál v anglické Premier League.
Sport;Ve kterém městě sídlí basketbalový klub Pardubice?;Pardubice;Hradec Králové;Chrudim;Svitavy;A;1;
Sport;Kdo je Libor Hájek?;hokejista;fotbalista;tenista;atlet;A;1;Hájek hrál v NHL za New York Rangers.
