kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Zeměpis;Kde se nachází Štramberk?;Moravskoslezský kraj;Zlínský kraj;Olomoucký kraj;Jihomoravský kraj;A;2;Štramberk je nazýván Valašským Betlémem.
Zeměpis;Kolik obyvatel má přibližně Brno?;380 tisíc;500 tisíc;300 tisíc;450 tisíc;A;2;
Zeměpis;Kde pramení řeka Odra?;Oderské vrchy;Beskydy;Jeseníky;Krkonoše;A;2;Odra je jedinou českou řekou tekoucí do Baltského moře.
Zeměpis;Které město je centrem Královéhradeckého kraje?;Hradec Králové;Trutnov;Náchod;Jičín;A;1;
Zeměpis;Kde leží hrad Karlštejn?;Český kras;Moravský kras;České středohoří;Šumava;A;1;Karel IV. nechal Karlštejn postavit k uložení korunovačních klenotů.
Zeměpis;Kolik metrů měří televizní věž na Pradědu?;146 m;120 m;160 m;100 m;A;2;
Zeměpis;Kde se nachází Vranovská přehrada?;jižní Morava;jižní Čechy;Vysočina;severní Morava;A;1;Vranovská přehrada leží na řece Dyji.
Zeměpis;Která hora je nejvyšší v Orlických horách?;Velká Deštná;Šerlich;Suchý vrch;Králický Sněžník;A;2;
Zeměpis;Kde leží město Mikulov?;jižní Morava;jižní Čechy;Vysočina;střední Morava;A;1;Mikulov je centrem moravského vinařství.
Zeměpis;Kolik procent ČR leží v povodí Odry?;přibližně 7%;přibližně 15%;přibližně 3%;přibližně 10%;A;3;
Zeměpis;Kde se nachází Pálava?;jižní Morava;jižní Čechy;střední Morava;Vysočina;A;1;Pálava je chráněnou krajinnou oblastí známou vápencovými skalami.
Zeměpis;Které město je hlavním městem Plzeňského kraje?;Plzeň;Klatovy;Domažlice;Rokycany;A;1;Plzeň je čtvrté největší město Česka.
Osobnosti;Kdo napsal Kytici?;Karel Jaromír Erben;Karel Hynek Mácha;Božena Němcová;Jan Neruda;A;1;Kytice je sbírka balad inspirovaných lidovými pověstmi.
Osobnosti;Kdo byl Svatopluk Čech?;básník a prozaik;malíř;hudebník;politik;A;2;Čech napsal satirické romány o panu Broučkovi.
Osobnosti;Kdo napsal Obraz Doriana Graye?;Oscar Wilde, ne Čech;Karel Čapek;Bohumil Hrabal;Milan Kundera;A;4;
Osobnosti;Kdo byl Viktor Dyk?;básník a politik;malíř;hudebník;sportovec;A;2;Dyk napsal slavnou báseň Země mluví.
Osobnosti;Kdo napsal Černé barony?;Miloslav Švandrlík;Jaroslav Hašek;Karel Čapek;Bohumil Hrabal;A;2;Černí baroni jsou satirickým románem o vojenské službě u PTP.
Osobnosti;Kdo byl Jan Zrzavý?;malíř;hudebník;básník;sochař;A;1;Zrzavý byl představitelem českého symbolismu a expresionismu.
Osobnosti;Kdo napsal Příběhy obyčejného šílenství?;Petr Zelenka;Jan Svěrák;Miloš Forman;Jiří Menzel;A;3;
Osobnosti;Kdo byl Emil Filla?;malíř a kubista;hudebník;básník;architekt;A;2;Filla byl vůdčí osobností českého kubismu.
Osobnosti;Kdo napsal Maryšu?;bratři Mrštíkové;Karel Čapek;Alois Jirásek;Božena Němcová;A;2;Maryša je klasickým českým realistickým dramatem.
Osobnosti;Kdo byl Václav Brožík?;malíř;hudebník;sochař;architekt;A;3;Brožík je známý monumentálními historickými plátny.
Osobnosti;Kdo napsal Menší růžovou zahradu?;Jan Skácel;Jaroslav Seifert;Vítězslav Nezval;František Halas;A;3;
Osobnosti;Kdo byl Max Švabinský?;malíř a grafik;hudebník;básník;sochař;A;2;Švabinský vytvořil vitráže pro katedrálu sv. Víta.
Osobnosti;Kdo napsal Spalovač mrtvol?;Ladislav Fuks;Bohumil Hrabal;Milan Kundera;Josef Škvorecký;A;1;Spalovač mrtvol je psychologický román o kolaborantovi.
Osobnosti;Kdo byl Otakar Březina?;básník;malíř;hudebník;politik;A;2;Březina je považován za vrchol českého symbolismu.
Osobnosti;Kdo napsal Básníky?;Vitězslav Nezval;Jaroslav Seifert;Karel Čapek;Jan Skácel;A;4;
Osobnosti;Kdo byl Václav Špála?;malíř;hudebník;básník;sochař;A;2;Špála byl představitelem českého moderního umění.
Osobnosti;Kdo napsal Hodinu mezi psem a vlkem?;Jan Procházka;Bohumil Hrabal;Milan Kundera;Karel Čapek;A;3;
Osobnosti;Kdo byl Karel Purkyně?;malíř;vědec;politik;hudebník;A;3;Karel Purkyně byl synem fyziologa Jana Evangelisty Purkyně.
Osobnosti;Kdo napsal Přísně tajné vrazi?;Jiří Brdečka;Karel Čapek;Jaroslav Hašek;Zdeněk Jirotka;A;3;
Kultura;Co je to jaternice?;druh uzeniny;název polévky;typ sýra;druh pečiva;A;1;Jaternice se vyrábí z vepřových jater a vnitřností.
Kultura;Kdy se slaví svátek Všech svatých?;1. listopadu;2. listopadu;31. října;3. listopadu;A;2;Den Všech svatých předchází Dušičkám.
Kultura;Co je to kroupy?;druh obilniny;typ masa;název zeleniny;druh ovoce;A;1;Kroupy se používají do polévek a kaší.
Kultura;Jaký je tradiční moravský nápoj?;slivovice;pivo;medovina;víno;A;2;Slivovice se vyrábí z kvašených švestek, zejména na Valašsku.
Kultura;Co je to houskový knedlík?;příloha z mouky;druh polévky;typ masa;název dezertu;A;1;Houskový knedlík je typickou přílohou k omáčkám.
Kultura;Kdy se koná Mezinárodní hudební festival v Českém Krumlově?;červenec-srpen;květen-červen;září-říjen;prosinec;A;2;
Kultura;Co je to škvarky?;vypečený tuk;druh polévky;typ sýra;název pečiva;A;1;Škvarky se tradičně jedí na chlebu s cibulí.
Kultura;Jaký je tradiční český nápoj z medu?;medovina;pivo;víno;pálenka;A;1;Medovina má v Čechách tradici od středověku.
Kultura;Co je to sekaná?;druh masa;typ polévky;název zeleniny;druh pečiva;A;1;Sekaná se připravuje z mletého masa a peče v troubě.
Kultura;Kdy se koná Festival fantazie v Chotěboři?;červenec;srpen;září;červen;A;4;
Kultura;Co je to tlačenka?;druh uzeniny;typ polévky;název sýra;druh pečiva;A;1;Tlačenka se vyrábí z vepřové hlavy a nožiček.
Kultura;Jaký je tradiční český dezert?;ovocné knedlíky;tiramisu;cheesecake;brownie;A;1;Ovocné knedlíky se plní jahodami, švestkami nebo meruňkami.
Kultura;Co je to pivní sýr?;nakládaný sýr;druh piva;typ masa;název polévky;A;2;Pivní sýr se nakládá s cibulí a kořením.
Kultura;Kdy se slaví Boží hod vánoční?;25. prosince;24. prosince;26. prosince;1. ledna;A;2;Na Boží hod vánoční se tradičně podává slavnostní oběd.
Kultura;Co je to utopenec?;nakládaný párek;druh polévky;typ masa;název sýra;A;1;
Kultura;Jaký je tradiční vánoční zvyk s kaprími šupinami?;nosit v peněžence pro štěstí;házet do studny;darovat sousedům;pálit v ohni;A;1;Šupiny kapra mají přinášet finanční štěstí.
Kultura;Co je to halušky?;druh těstovin;typ polévky;název masa;druh zeleniny;A;1;Halušky jsou oblíbené na Slovensku i východní Moravě.
Kultura;Kdy se koná Colours of Ostrava?;červenec;srpen;červen;září;A;1;Colours of Ostrava je největší multižánrový festival v ČR.
Kultura;Co je to lívance?;druh pečiva;typ polévky;název masa;druh zeleniny;A;1;Lívance jsou tlusté palačinky podávané s marmeládou.
Sport;Kdo je nejúspěšnější česká plavkyně?;Simona Kubová;Martina Moravcová;Petra Chocová;Alena Poláčková;A;3;
Sport;Ve kterém sportu vynikla Markéta Vondroušová?;tenis;hokej;atletika;plavání;A;1;Vondroušová vyhrála Wimbledon 2023 jako první Češka.
Sport;Kdo je Tomáš Plekanec?;hokejista;fotbalista;tenista;atlet;A;1;Plekanec strávil většinu kariéry v Montrealu Canadiens.
Sport;Ve kterém městě sídlí hokejový klub Bílí Tygři?;Liberec;Hradec Králové;Pardubice;Mladá Boleslav;A;1;
Sport;Kdo je nejúspěšnější český golfista?;Alex Čejka;Jiří Novák;Stanislav Matuš;Roman Šebrle;A;3;
Sport;Ve kterém sportu vynikl Martin Šonka?;akrobatické létání;parašutismus;letectví;bezmotorové létání;A;2;Šonka vyhrál celkové hodnocení Red Bull Air Race 2018.
Sport;Kdo je Vojtěch Bednář?;hokejista;fotbalista;tenista;atlet;A;4;
Sport;Ve kterém městě sídlí basketbalový klub Nymburk?;Nymburk;Praha;Brno;Olomouc;A;1;Nymburk je nejúspěšnějším basketbalovým klubem v ČR.
Sport;Kdo je Eva Puskarčíková?;biatlonistka;lyžařka;běžkyně;střelkyně;A;1;
Sport;Ve kterém sportu vynikl Tomáš Kučera?;moderní pětiboj;atletika;plavání;cyklistika;A;3;
Sport;Kdo je Jakub Jankto?;fotbalista;hokejista;tenista;atlet;A;1;Jankto hrál v italské Serie A za Sampdorii.
Sport;Ve kterém městě sídlí volejbalový klub Liberec?;Liberec;Praha;Brno;Ostrava;A;1;
Sport;Kdo je David Svoboda?;moderní pětibojař;atlet;plavec;cyklista;A;1;Svoboda vyhrál olympijské zlato v Londýně 2012.
Sport;Ve kterém sportu vynikl Michal Krčmář?;biatlon;běh na lyžích;skoky na lyžích;alpské lyžování;A;1;Krčmář získal stříbro na ZOH 2018 v Pchjongčchangu.
Sport;Kdo je Jaroslav Bába?;výškař;sprinter;oštěpař;diskař;A;1;Bába získal bronz na olympiádě v Aténách 2004.
Sport;Ve kterém městě se koná Czech Open v tenise?;Praha;Brno;Ostrava;Olomouc;A;1;
Sport;Kdo je Zuzana Hejnová?;atletka;tenistka;plavkyně;lyžařka;A;1;Hejnová je dvojnásobná mistryně světa v běhu na 400 m překážek.
Sport;Ve kterém sportu vynikl Aleš Loprais?;rallye Dakar;formule;motocyklové závody;rallye;A;1;Loprais závodí s kamionem značky Tatra na Dakaru.
Sport;Kdo je Renata Štěrbová?;vzpěračka;atletka;plavkyně;gymnastka;A;4;
Sport;Ve kterém městě sídlí florbalový klub Tatran?;Střešovice (Praha);Brno;Ostrava;Plzeň;A;1;Tatran Střešovice je nejúspěšnějším florbalovým klubem v ČR.
Sport;Kdo je Jaroslav Kulhavý?;biker;cyklista;atlet;triatlonista;A;1;Kulhavý vyhrál olympijské zlato v cross-country na ZOH 2012 v Londýně.
Sport;Ve kterém sportu vynikla Šárka Kašpárková?;trojskok;skok daleký;skok vysoký;tyčka;A;1;Kašpárková získala bronz na olympiádě v Atlantě 1996.
