kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Osobnosti;Kdo byl Vladimír Holan?;básník;malíř;hudebník;herec;A;3;Holan žil v ústraní na Kampě a jeho dílo patří k vrcholům české poezie.
Osobnosti;Kdo napsal Spalovač mrtvol?;Ladislav Fuks;Bohumil Hrabal;Milan Kundera;Arnošt Lustig;A;3;
Osobnosti;Kdo byl Tomáš Baťa mladší?;podnikatel;politik;vědec;sportovec;A;2;Baťa mladší po emigraci řídil firmu z kanadského Batawy.
Osobnosti;Kdo je Jan Svěrák?;režisér;zpěvák;sportovec;politik;A;1;Svěrák získal Oscara za film Kolja v roce 1997.
Kultura;Co je to Kraslice?;ozdobené velikonoční vejce;typ hudebního nástroje;druh koláče;název města;A;1;Tradice zdobení kraslic sahá v Čechách až do středověku.
Kultura;Kdy se slaví Den boje za svobodu a demokracii?;17. listopadu;28. října;28. září;1. ledna;A;1;17. listopad připomíná události z let 1939 i 1989.
Kultura;Jaký je tradiční moravský koláč?;frgál;vdolek;buchta;štrúdl;A;2;Frgály pocházejí z Valašska a plní se mákem, tvarohem nebo hruškami.
Kultura;Co je to olomoucké tvarůžky?;silně aromatický sýr;druh pečiva;typ uzeniny;název polévky;A;1;Olomoucké tvarůžky jsou jediným českým produktem s chráněným zeměpisným označením EU.
Kultura;Kdy se koná pomlázka?;Velikonoční pondělí;Velký pátek;Bílá sobota;Květná neděle;A;1;
Kultura;Jaký je tradiční nápoj na zahřátí v zimě?;svařák;pivo;limonáda;mošt;A;1;
Kultura;Co je to jitrnice?;druh uzeniny;název polévky;typ sýra;druh pečiva;A;1;Jitrnice se tradičně připravují při zabijačce.
Kultura;Kdy se slaví Den vzniku samostatného československého státu?;28. října;28. září;17. listopadu;1. ledna;A;1;28. říjen 1918 je dnem vyhlášení československé nezávislosti.
Kultura;Co je typické pro českou zabijačku?;výroba uzenin a jitrnic;sklizeň obilí;sběr ovoce;dožínky;A;2;Zabijačka byla tradičně pořádána na podzim a v zimě.
Kultura;Jaký je tradiční vánoční cukroví vedle vanilkových rohlíčků?;linecké;croissanty;donuty;muffiny;A;1;
Kultura;Co je to hodová muzika?;hudba na posvícení;typ tance;druh písně;název nástroje;A;2;
Kultura;Kdy se slaví svátek Jana Husa?;6. července;5. července;28. září;28. října;A;1;
Kultura;Co je to knedlo zelo vepřo?;české národní jídlo;druh polévky;typ dezertu;název svátku;A;1;
Kultura;Jaký je tradiční vánoční zvyk s kaprem?;pouštění kapra do vany;smažení kapra;grilování kapra;uzení kapra;A;1;Kapři se tradičně kupují živí a nechávají se do Štědrého dne ve vaně.
Kultura;Co je to střelba srdcovek?;zdobení perníků;střelecká soutěž;druh tance;typ zábavy;A;3;
Kultura;Kdy se koná vinobraní na Moravě?;září-říjen;červen-červenec;listopad-prosinec;březen-duben;A;2;Vinobraní má na Moravě tradici sahající do římských dob.
Kultura;Co je to štrúdl?;závin s jablky;druh polévky;typ masa;název sýra;A;1;
Kultura;Jaký je tradiční český nápoj z jablek?;mošt;pivo;víno;medovina;A;1;
Kultura;Co je to jízda králů?;moravský lidový zvyk;druh sportu;typ tance;název hry;A;2;Jízda králů je zapsána na seznamu nehmotného kulturního dědictví UNESCO.
Sport;Kdo je Patrik Eliáš?;hokejista;tenista;fotbalista;atlet;A;1;Eliáš je nejproduktivnějším českým hráčem v historii New Jersey Devils.
Sport;Ve kterém sportu vynikla Šárka Záhrobská?;sjezdové lyžování;běh na lyžích;biatlon;krasobruslení;A;2;
Sport;Kdo je Tomáš Rosický?;fotbalista;hokejista;tenista;cyklista;A;1;Rosický hrál za Arsenal a byl kapitánem české reprezentace.
Sport;Ve kterém roce se konaly Zimní olympijské hry s českou účastí poprvé?;1924;1920;1928;1936;A;3;
Sport;Kdo je nejúspěšnější český cyklista?;Leopold König;Roman Kreuziger;Zdeněk Štybar;Jan Hirt;A;4;
Sport;Ve kterém roce vyhráli čeští hokejisté MS ve Vídni?;2005;2000;2010;2001;A;2;Ve Vídni Češi porazili ve finále Kanadu 3:0.
Sport;Kdo je Vítězslav Veselý?;oštěpař;diskař;kladivář;koulař;A;1;
Sport;Ve kterém sportu vynikl Aleš Valenta?;akrobatické lyžování;sjezdové lyžování;skoky na lyžích;biatlon;A;2;Valenta vyhrál olympijské zlato v sáltech na ZOH 2002 v Salt Lake City.
Sport;Kdo je Adam Ondra?;sportovní lezec;horolezec;alpinista;paraglidista;A;1;Ondra je považován za jednoho z nejlepších lezců všech dob.
Sport;Ve kterém roce se konalo MS v hokeji v Ostravě?;2015;2010;2004;2019;A;2;MS 2015 se konalo v Praze a Ostravě.
Sport;Kdo je Karolína Muchová?;tenistka;běžkyně;plavkyně;gymnastka;A;1;
Sport;Ve kterém sportu vynikl Martin Doktor?;rychlostní kanoistika;veslování;plavání;vodní slalom;A;2;Doktor vyhrál dvě olympijská zlata v Atlantě 1996.
Sport;Kdo je Petr Čech?;fotbalový brankář;hokejista;tenista;atlet;A;1;Čech je nejlepším českým brankářem v historii a hrál za Chelsea a Arsenal.
Sport;Ve kterém městě sídlí fotbalový klub Viktoria?;Plzeň;Praha;Liberec;Olomouc;A;1;
Sport;Kdo je Tomáš Satoranský?;basketbalista;volejbalista;házenkář;florbalista;A;1;Satoranský je prvním českým hráčem v NBA.
Sport;Ve kterém sportu vynikla Kateřina Emmons?;sportovní střelba;šerm;lukostřelba;atletika;A;2;Emmons vyhrála olympijské zlato ve střelbě na ZOH 2008 v Pekingu.
Sport;Kdo je Jan Kopic?;fotbalista;hokejista;tenista;atlet;A;2;
Sport;Ve kterém roce Sparta Praha vyhrála ligový titul naposledy?;2014;2018;2020;2010;A;3;
Sport;Kdo je Dominik Hašek?;hokejový brankář;fotbalista;tenista;atlet;A;1;Hašek získal šest trofejí Vezina pro nejlepšího brankáře NHL.
Sport;Ve kterém městě sídlí hokejový klub Kometa?;Brno;Praha;Ostrava;Plzeň;A;1;Kometa Brno je jedním z nejstarších hokejových klubů v Česku.
