kategorie;otazka;odpoved_a;odpoved_b;odpoved_c;odpoved_d;spravna;obtiznost;vedeli_jste
Kultura;Kdy se koná Jeden svět?;březen;duben;květen;únor;A;1;Jeden svět je festival dokumentárních filmů o lidských právech.
Kultura;Co je to rajská omáčka?;omáčka z rajčat;druh polévky;typ masa;název sýra;A;1;Rajská omáčka se podává s knedlíky a masem.
Kultura;Jaký je tradiční moravský lidový kroj?;hanácký, slovácký, valašský;pražský;chodský;krkonošský;A;1;Moravské kroje patří k nejzdobnějším v Česku.
Kultura;Co je to koprová omáčka?;omáčka s koprem;druh polévky;typ masa;název sýra;A;1;Koprová omáčka se podává s vejcem nebo masem.
Kultura;Kdy se koná Pražský divadelní festival?;květen-červen;září-říjen;leden-únor;listopad-prosinec;A;4;
Kultura;Co je to hrachová polévka?;polévka z hrachu;druh masa;typ uzeniny;název sýra;A;1;
Kultura;Jaký je tradiční velikonoční zvyk na Moravě?;hodování;pomlázka;zdobení kraslic;pečení beránka;A;3;
Kultura;Co je to fazolová polévka?;polévka z fazolí;druh masa;typ uzeniny;název sýra;A;1;
Kultura;Kdy se koná Tanec Praha?;červen;květen;červenec;srpen;A;1;Tanec Praha je mezinárodní festival současného tance.
Kultura;Co je to bramboračka?;bramborová polévka;druh pečiva;typ uzeniny;název sýra;A;1;Bramboračka se vaří s houbami a majoránkou.
Sport;Kdo je nejúspěšnější český hokejový útočník v NHL?;Jaromír Jágr;Patrik Eliáš;Milan Hejduk;David Pastrňák;A;1;Jágr je třetím nejproduktivnějším hráčem v historii NHL.
Sport;Ve kterém sportu vynikl Martin Jakš?;běh na lyžích;biatlon;skoky na lyžích;alpské lyžování;A;2;
Sport;Kdo je Pavel Francouz?;hokejový brankář;fotbalista;tenista;atlet;A;1;Francouz vyhrál Stanley Cup s Colorado Avalanche v roce 2022.
Sport;Ve kterém městě sídlí hokejový klub Mountfield?;Hradec Králové;Pardubice;Liberec;Mladá Boleslav;A;1;
Sport;Kdo je nejúspěšnější český vodní slalomář?;Vavřinec Hradilek;Lukáš Rohan;Jiří Prskavec;Ondřej Tunka;A;3;Prskavec vyhrál olympijské zlato v Tokiu 2020.
Sport;Ve kterém sportu vynikl Aleš Hřebeský?;lakros;hokej;florbal;házená;A;2;
Sport;Kdo je Martin Nečas?;hokejista;fotbalista;tenista;atlet;A;1;Nečas hraje v NHL za Carolina Hurricanes.
Sport;Ve kterém městě se koná Czech Ladies Open v golfu?;Beroun;Praha;Karlovy Vary;Mariánské Lázně;A;3;
Sport;Kdo je nejúspěšnější česká krasobruslařka?;Eliška Březinová;Michaela Doleželová;Anna Dušková;Natálie Taschlerová;A;4;
Sport;Ve kterém sportu vynikl Tomáš Kraus?;skikros;sjezdové lyžování;skoky na lyžích;biatlon;A;1;Kraus byl mistrem světa ve skikrosu.
Sport;Kdo je Dominik Kubalík?;hokejista;fotbalista;tenista;atlet;A;1;Kubalík hraje v NHL a reprezentoval ČR na MS.
Sport;Ve kterém městě sídlí basketbalový klub USK?;Praha;Brno;Olomouc;Ostrava;A;1;USK Praha je nejúspěšnější ženský basketbalový klub v ČR.
Sport;Kdo je Jiří Prskavec?;vodní slalomář;plavec;veslař;kajakář;A;1;Prskavec je olympijský vítěz v kajaku.
Sport;Ve kterém sportu vynikla Zuzana Kocumová?;judo;karate;taekwondo;zápas;A;3;
Sport;Kdo je Filip Chytil?;hokejista;fotbalista;tenista;atlet;A;1;Chytil hraje v NHL za New York Rangers.
Sport;Ve kterém městě se koná Prague Open v tenise?;Praha;Brno;Ostrava;Olomouc;A;1;
Sport;Kdo je nejúspěšnější český zápasník?;Marek Švec;Petr Novák;David Svoboda;Jan Koller;A;3;
Sport;Ve kterém sportu vynikl Jakub Holuša?;atletika - běh;atletika - skok;atletika - hod;atletika - víceboj;A;1;Holuša je specialista na střední tratě.
Sport;Kdo je David Rittich?;hokejový brankář;fotbalista;tenista;atlet;A;1;Rittich chytal v NHL za Calgary a Toronto.
Sport;Ve kterém městě sídlí volejbalový klub Dukla?;Liberec;Praha;Brno;Ostrava;A;1;
Sport;Kdo je Ondřej Beránek?;hokejista;fotbalista;tenista;atlet;A;2;
